County,Jurisdiction,Year,Population
Alameda,Alameda,1970," 70,968 "
Alameda,Albany,1970," 15,561 "
Alameda,Berkeley,1970," 114,091 "
Alameda,Dublin,1970, -   
Alameda,Emeryville,1970," 2,681 "
Alameda,Fremont,1970," 100,869 "
Alameda,Hayward,1970," 93,058 "
Alameda,Livermore,1970," 37,703 "
Alameda,Newark,1970," 27,153 "
Alameda,Oakland,1970," 361,561 "
Alameda,Piedmont,1970," 10,917 "
Alameda,Pleasanton,1970," 18,328 "
Alameda,San Leandro,1970," 68,698 "
Alameda,Unincorporated Alameda,1970," 135,134 "
Alameda,Union City,1970," 14,724 "
Alpine,Unincorporated Alpine,1970, 484 
Amador,Amador,1970, 156 
Amador,Ione,1970," 2,369 "
Amador,Jackson,1970," 1,924 "
Amador,Plymouth,1970, 501 
Amador,Sutter Creek,1970," 1,508 "
Amador,Unincorporated Amador,1970," 5,363 "
Butte,Biggs,1970," 1,115 "
Butte,Chico,1970," 19,580 "
Butte,Gridley,1970," 3,534 "
Butte,Oroville,1970," 7,536 "
Butte,Paradise,1970, -   
Butte,Unincorporated Butte,1970," 70,204 "
Calaveras,Angels,1970," 1,710 "
Calaveras,Unincorporated Calaveras,1970," 11,875 "
Colusa,Colusa,1970," 3,842 "
Colusa,Unincorporated Colusa,1970," 7,017 "
Colusa,Williams,1970," 1,571 "
Contra Costa,Antioch,1970," 28,060 "
Contra Costa,Brentwood,1970," 2,649 "
Contra Costa,Clayton,1970," 1,385 "
Contra Costa,Concord,1970," 85,164 "
Contra Costa,Danville,1970, -   
Contra Costa,El Cerrito,1970," 25,190 "
Contra Costa,Hercules,1970, 252 
Contra Costa,Lafayette,1970," 20,484 "
Contra Costa,Martinez,1970," 16,506 "
Contra Costa,Moraga,1970, -   
Contra Costa,Oakley,1970, -   
Contra Costa,Orinda,1970, -   
Contra Costa,Pinole,1970," 13,266 "
Contra Costa,Pittsburg,1970," 21,423 "
Contra Costa,Pleasant Hill,1970," 24,610 "
Contra Costa,Richmond,1970," 79,043 "
Contra Costa,San Pablo,1970," 21,461 "
Contra Costa,San Ramon,1970, -   
Contra Costa,Unincorporated Contra Costa,1970," 176,779 "
Contra Costa,Walnut Creek,1970," 39,844 "
Del Norte,Crescent City,1970," 2,586 "
Del Norte,Unincorporated Del Norte,1970," 11,994 "
El Dorado,Placerville,1970," 5,416 "
El Dorado,South Lake Taho,1970," 12,921 "
El Dorado,Unincorporated El Dorado,1970," 25,496 "
Fresno,Clovis,1970," 13,856 "
Fresno,Coalinga,1970," 6,161 "
Fresno,Firebaugh,1970," 2,517 "
Fresno,Fowler,1970," 2,239 "
Fresno,Fresno,1970," 165,972 "
Fresno,Huron,1970," 1,525 "
Fresno,Kerman,1970," 2,667 "
Fresno,Kingsburg,1970," 3,843 "
Fresno,Mendota,1970," 2,705 "
Fresno,Orange Cove,1970," 3,392 "
Fresno,Parlier,1970," 1,993 "
Fresno,Reedley,1970," 8,131 "
Fresno,San Joaquin,1970," 1,506 "
Fresno,Sanger,1970," 10,088 "
Fresno,Selma,1970," 7,459 "
Fresno,Unincorporated Fresno,1970," 179,275 "
Glenn,Orland,1970," 2,884 "
Glenn,Unincorporated Glenn,1970," 10,552 "
Glenn,Willows,1970," 4,085 "
Humboldt,Arcata,1970," 8,985 "
Humboldt,Blue Lake,1970," 1,112 "
Humboldt,Eureka,1970," 24,337 "
Humboldt,Ferndale,1970," 1,352 "
Humboldt,Fortuna,1970," 4,203 "
Humboldt,Rio Dell,1970," 2,817 "
Humboldt,Trinidad,1970, 300 
Humboldt,Unincorporated Humboldt,1970," 56,586 "
Imperial,Brawley,1970," 13,746 "
Imperial,Calexico,1970," 10,625 "
Imperial,Calipatria,1970," 1,824 "
Imperial,El Centro,1970," 19,272 "
Imperial,Holtville,1970," 3,496 "
Imperial,Imperial,1970," 3,094 "
Imperial,Unincorporated Imperial,1970," 21,260 "
Imperial,Westmorland,1970," 1,175 "
Inyo,Bishop,1970," 3,498 "
Inyo,Unincorporated Inyo,1970," 12,073 "
Kern,Arvin,1970," 5,199 "
Kern,Bakersfield,1970," 69,515 "
Kern,California City,1970," 1,309 "
Kern,Delano,1970," 14,559 "
Kern,Maricopa,1970, 740 
Kern,Mc Farland,1970," 4,177 "
Kern,Ridgecrest,1970," 7,629 "
Kern,Shafter,1970," 5,327 "
Kern,Taft,1970," 4,285 "
Kern,Tehachapi,1970," 4,211 "
Kern,Unincorporated Kern,1970," 205,014 "
Kern,Wasco,1970," 8,269 "
Kings,Avenal,1970, -   
Kings,Corcoran,1970," 5,249 "
Kings,Hanford,1970," 15,179 "
Kings,Lemoore,1970," 4,219 "
Kings,Unincorporated Kings,1970," 42,070 "
Lake,Clearlake,1970, -   
Lake,Lakeport,1970," 3,005 "
Lake,Unincorporated Lake,1970," 16,543 "
Lassen,Susanville,1970," 6,608 "
Lassen,Unincorporated Lassen,1970," 10,188 "
Los Angeles,Agoura Hills,1970, -   
Los Angeles,Alhambra,1970," 62,125 "
Los Angeles,Arcadia,1970," 45,138 "
Los Angeles,Artesia,1970," 14,757 "
Los Angeles,Avalon,1970," 1,520 "
Los Angeles,Azusa,1970," 25,217 "
Los Angeles,Baldwin Park,1970," 47,285 "
Los Angeles,Bell,1970," 22,098 "
Los Angeles,Bell Gardens,1970," 29,308 "
Los Angeles,Bellflower,1970," 52,334 "
Los Angeles,Beverly Hills,1970," 33,416 "
Los Angeles,Bradbury,1970, 838 
Los Angeles,Burbank,1970," 88,871 "
Los Angeles,Calabasas,1970, -   
Los Angeles,Carson,1970," 72,358 "
Los Angeles,Cerritos,1970," 15,856 "
Los Angeles,Claremont,1970," 24,776 "
Los Angeles,Commerce,1970," 10,635 "
Los Angeles,Compton,1970," 78,547 "
Los Angeles,Covina,1970," 30,395 "
Los Angeles,Cudahy,1970," 16,998 "
Los Angeles,Culver City,1970," 34,451 "
Los Angeles,Diamond Bar,1970, -   
Los Angeles,Downey,1970," 88,573 "
Los Angeles,Duarte,1970," 14,981 "
Los Angeles,El Monte,1970," 69,892 "
Los Angeles,El Segundo,1970," 15,620 "
Los Angeles,Gardena,1970," 41,021 "
Los Angeles,Glendale,1970," 132,664 "
Los Angeles,Glendora,1970," 31,380 "
Los Angeles,Hawaiian Gardens,1970," 9,052 "
Los Angeles,Hawthorne,1970," 53,304 "
Los Angeles,Hermosa Beach,1970," 17,412 "
Los Angeles,Hidden Hills,1970," 1,529 "
Los Angeles,Huntington Park,1970," 33,482 "
Los Angeles,Industry,1970, 712 
Los Angeles,Inglewood,1970," 89,985 "
Los Angeles,Irwindale,1970, 784 
Los Angeles,La Canada Flintridge,1970, -   
Los Angeles,La Habra Heights,1970, -   
Los Angeles,La Mirada,1970," 30,808 "
Los Angeles,La Puente,1970," 31,092 "
Los Angeles,La Verne,1970," 12,965 "
Los Angeles,Lakewood,1970," 83,025 "
Los Angeles,Lancaster,1970, -   
Los Angeles,Lawndale,1970," 24,825 "
Los Angeles,Lomita,1970," 19,784 "
Los Angeles,Long Beach,1970," 358,879 "
Los Angeles,Los Angeles,1970," 2,811,801 "
Los Angeles,Lynwood,1970," 43,354 "
Los Angeles,Malibu,1970, -   
Los Angeles,Manhattan Beach,1970," 35,352 "
Los Angeles,Maywood,1970," 16,996 "
Los Angeles,Monrovia,1970," 30,562 "
Los Angeles,Montebello,1970," 42,807 "
Los Angeles,Monterey Park,1970," 49,166 "
Los Angeles,Norwalk,1970," 90,164 "
Los Angeles,Palmdale,1970," 8,511 "
Los Angeles,Palos Verdes Estates,1970," 13,631 "
Los Angeles,Paramount,1970," 34,734 "
Los Angeles,Pasadena,1970," 112,951 "
Los Angeles,Pico Rivera,1970," 54,170 "
Los Angeles,Pomona,1970," 87,384 "
Los Angeles,Rancho Palos Verdes,1970, -   
Los Angeles,Redondo Beach,1970," 57,451 "
Los Angeles,Rolling Hills,1970," 2,050 "
Los Angeles,Rolling Hills Estates,1970," 6,735 "
Los Angeles,Rosemead,1970," 40,972 "
Los Angeles,San Dimas,1970," 15,692 "
Los Angeles,San Fernando,1970," 16,571 "
Los Angeles,San Gabriel,1970," 29,336 "
Los Angeles,San Marino,1970," 14,177 "
Los Angeles,Santa Clarita,1970, -   
Los Angeles,Santa Fe Springs,1970," 14,750 "
Los Angeles,Santa Monica,1970," 88,289 "
Los Angeles,Sierra Madre,1970," 12,140 "
Los Angeles,Signal Hill,1970," 5,588 "
Los Angeles,South El Monte,1970," 13,443 "
Los Angeles,South Gate,1970," 56,909 "
Los Angeles,South Pasadena,1970," 22,979 "
Los Angeles,Temple City,1970," 31,034 "
Los Angeles,Torrance,1970," 134,968 "
Los Angeles,Unincorporated Los Angeles,1970," 1,031,471 "
Los Angeles,Vernon,1970, 261 
Los Angeles,Walnut,1970," 5,992 "
Los Angeles,West Covina,1970," 68,034 "
Los Angeles,West Hollywood,1970, -   
Los Angeles,Westlake Village,1970, -   
Los Angeles,Whittier,1970," 72,863 "
Madera,Chowchilla,1970," 4,349 "
Madera,Madera,1970," 16,044 "
Madera,Unincorporated Madera,1970," 21,126 "
Marin,Belvedere,1970," 2,599 "
Marin,Corte Madera,1970," 8,464 "
Marin,Fairfax,1970," 7,661 "
Marin,Larkspur,1970," 10,487 "
Marin,Mill Valley,1970," 12,942 "
Marin,Novato,1970," 31,006 "
Marin,Ross,1970," 2,742 "
Marin,San Anselmo,1970," 13,031 "
Marin,San Rafael,1970," 38,977 "
Marin,Sausalito,1970," 6,158 "
Marin,Tiburon,1970," 6,209 "
Marin,Unincorporated Marin,1970," 68,376 "
Mariposa,Unincorporated Mariposa,1970," 6,015 "
Mendocino,Fort Bragg,1970," 4,455 "
Mendocino,Point Arena,1970, 424 
Mendocino,Ukiah,1970," 10,095 "
Mendocino,Unincorporated Mendocino,1970," 33,036 "
Mendocino,Willits,1970," 3,091 "
Merced,Atwater,1970," 11,640 "
Merced,Dos Palos,1970," 2,496 "
Merced,Gustine,1970," 2,793 "
Merced,Livingston,1970," 2,588 "
Merced,Los Banos,1970," 9,188 "
Merced,Merced,1970," 22,670 "
Merced,Unincorporated Merced,1970," 53,254 "
Modoc,Alturas,1970," 2,799 "
Modoc,Unincorporated Modoc,1970," 4,670 "
Mono,Mammoth Lakes,1970, -   
Mono,Unincorporated Mono,1970," 4,016 "
Monterey,Carmel-by-the-Sea,1970," 4,525 "
Monterey,Del Rey Oaks,1970," 1,823 "
Monterey,Gonzales,1970," 2,575 "
Monterey,Greenfield,1970," 2,608 "
Monterey,King City,1970," 3,717 "
Monterey,Marina,1970, -   
Monterey,Monterey,1970," 26,302 "
Monterey,Pacific Grove,1970," 13,505 "
Monterey,Salinas,1970," 58,896 "
Monterey,Sand City,1970, 212 
Monterey,Seaside,1970," 36,883 "
Monterey,Soledad,1970," 4,222 "
Monterey,Unincorporated Monterey,1970," 92,182 "
Napa,American Canyon     ,1970, -   
Napa,Calistoga,1970," 1,882 "
Napa,Napa,1970," 36,103 "
Napa,St. Helena,1970," 3,173 "
Napa,Unincorporated Napa,1970," 35,650 "
Napa,Yountville,1970," 2,332 "
Nevada,Grass Valley,1970," 5,149 "
Nevada,Nevada City,1970," 2,314 "
Nevada,Truckee             ,1970, -   
Nevada,Unincorporated Nevada,1970," 18,883 "
Orange,Aliso Viejo,1970, -   
Orange,Anaheim,1970," 166,408 "
Orange,Brea,1970," 18,447 "
Orange,Buena Park,1970," 63,646 "
Orange,Costa Mesa,1970," 72,660 "
Orange,Cypress,1970," 31,569 "
Orange,Dana Point,1970, -   
Orange,Fountain Valley,1970," 31,886 "
Orange,Fullerton,1970," 85,987 "
Orange,Garden Grove,1970," 121,155 "
Orange,Huntington Beach,1970," 115,960 "
Orange,Irvine,1970, -   
Orange,La Habra,1970," 41,350 "
Orange,La Palma,1970," 9,687 "
Orange,Laguna Beach,1970," 14,550 "
Orange,Laguna Hills,1970, -   
Orange,Laguna Niguel,1970, -   
Orange,Laguna Woods,1970, -   
Orange,Lake Forest,1970, -   
Orange,Lake Forest         ,1970, -   
Orange,Los Alamitos,1970," 11,346 "
Orange,Mission Viejo,1970, -   
Orange,Newport Beach,1970," 49,582 "
Orange,Orange,1970," 77,365 "
Orange,Placentia,1970," 21,948 "
Orange,Rancho Santa Margarita,1970, -   
Orange,San Clemente,1970," 17,063 "
Orange,San Juan Capistrano ,1970," 3,781 "
Orange,Santa Ana,1970," 155,710 "
Orange,Seal Beach,1970," 24,441 "
Orange,Stanton,1970," 18,186 "
Orange,Tustin,1970," 22,190 "
Orange,Unincorporated Orange,1970," 171,661 "
Orange,Villa Park,1970," 2,723 "
Orange,Westminister,1970," 60,076 "
Orange,Yorba Linda,1970," 11,856 "
Placer,Auburn,1970," 6,570 "
Placer,Colfax,1970, 798 
Placer,Lincoln,1970," 3,176 "
Placer,Loomis,1970, -   
Placer,Rocklin,1970," 3,039 "
Placer,Roseville,1970," 18,221 "
Placer,Unincorporated Placer,1970," 45,828 "
Plumas,Portola,1970," 1,625 "
Plumas,Unincorporated Plumas,1970," 10,082 "
Riverside,Banning,1970," 12,034 "
Riverside,Beaumont,1970," 5,484 "
Riverside,Blythe,1970," 7,047 "
Riverside,Calimesa,1970, -   
Riverside,Canyon Lake,1970, -   
Riverside,Cathedral City,1970, -   
Riverside,Coachella,1970," 8,353 "
Riverside,Corona,1970," 27,519 "
Riverside,Desert Hot Springs,1970," 2,738 "
Riverside,Eastvale,1970, -   
Riverside,Hemet,1970," 12,252 "
Riverside,Indian Wells,1970, 760 
Riverside,Indio,1970," 14,459 "
Riverside,Jurupa Valley,1970, -   
Riverside,La Quinta,1970, -   
Riverside,Lake Elsinore,1970," 3,530 "
Riverside,Menifee,1970, -   
Riverside,Moreno Valley,1970, -   
Riverside,Murietta,1970, -   
Riverside,Norco,1970," 14,511 "
Riverside,Palm Desert,1970, -   
Riverside,Palm Springs,1970," 20,936 "
Riverside,Perris,1970," 4,228 "
Riverside,Rancho Mirage,1970, -   
Riverside,Riverside,1970," 140,089 "
Riverside,San Jacinto,1970," 4,385 "
Riverside,Temecula,1970, -   
Riverside,Unincorporated Riverside,1970," 178,591 "
Riverside,Wildomar,1970, -   
Sacramento,Citrus Heights,1970, -   
Sacramento,Elk Grove,1970, -   
Sacramento,Folsom,1970," 5,810 "
Sacramento,Galt,1970," 3,200 "
Sacramento,Isleton,1970, 909 
Sacramento,Rancho Cordova,1970, -   
Sacramento,Sacramento,1970," 257,105 "
Sacramento,Unincorporated Sacramento,1970," 367,349 "
San Benito,Hollister,1970," 7,663 "
San Benito,San Juan Bautista,1970," 1,164 "
San Benito,Unincorporated San Benito,1970," 9,399 "
San Bernardino,Adelanto,1970, -   
San Bernardino,Apple Valley,1970, -   
San Bernardino,Barstow,1970," 17,442 "
San Bernardino,Big Bear Lake,1970, -   
San Bernardino,Chino,1970," 20,411 "
San Bernardino,Chino Hills,1970, -   
San Bernardino,Colton,1970," 20,216 "
San Bernardino,Fontana,1970," 20,673 "
San Bernardino,Grand Terrace,1970, -   
San Bernardino,Hesperia,1970, -   
San Bernardino,Highland,1970, -   
San Bernardino,Loma Linda,1970, -   
San Bernardino,Montclair,1970," 22,546 "
San Bernardino,Needles,1970," 4,051 "
San Bernardino,Ontario,1970," 64,118 "
San Bernardino,Rancho Cucamonga,1970, -   
San Bernardino,Redlands,1970," 36,355 "
San Bernardino,Rialto,1970," 28,370 "
San Bernardino,San Bernardino,1970," 106,869 "
San Bernardino,Twentynine Palms,1970, -   
San Bernardino,Unincorporated San Bernardino,1970," 297,786 "
San Bernardino,Upland,1970," 32,551 "
San Bernardino,Victorville,1970," 10,845 "
San Bernardino,Yucaipa,1970, -   
San Bernardino,Yucca Valley,1970, -   
San Diego,Carlsbad,1970," 14,944 "
San Diego,Chula Vista,1970," 67,901 "
San Diego,Coronado,1970," 20,020 "
San Diego,Del Mar,1970," 3,956 "
San Diego,El Cajon,1970," 52,273 "
San Diego,Encinitas,1970, -   
San Diego,Escondido,1970," 36,792 "
San Diego,Imperial Beach,1970," 20,244 "
San Diego,La Mesa,1970," 39,178 "
San Diego,Lemon Grove,1970, -   
San Diego,National City,1970," 43,184 "
San Diego,Oceanside,1970," 40,494 "
San Diego,Poway,1970, -   
San Diego,San Diego,1970," 697,471 "
San Diego,San Marcos,1970," 3,896 "
San Diego,Santee,1970, -   
San Diego,Solana Beach,1970, -   
San Diego,Unincorporated San Diego,1970," 292,813 "
San Diego,Vista,1970," 24,688 "
San Francisco,San Francisco,1970," 715,674 "
San Joaquin,Escalon,1970," 2,366 "
San Joaquin,Lathrop,1970, -   
San Joaquin,Lodi,1970," 28,691 "
San Joaquin,Manteca,1970," 13,845 "
San Joaquin,Ripon,1970," 2,679 "
San Joaquin,Stockton,1970," 109,963 "
San Joaquin,Tracy,1970," 14,724 "
San Joaquin,Unincorporated San Joaquin,1970," 118,805 "
San Luis Obispo,Arroyo Grande,1970," 7,454 "
San Luis Obispo,Atascadero,1970, -   
San Luis Obispo,El Paso De Robles,1970," 7,168 "
San Luis Obispo,Grover City,1970," 5,939 "
San Luis Obispo,Morro Bay,1970," 7,109 "
San Luis Obispo,Pismo Beach,1970," 4,043 "
San Luis Obispo,San Luis Obispo,1970," 28,036 "
San Luis Obispo,Unincorporated San Luis Obispo,1970," 45,941 "
San Mateo,Atherton,1970," 8,085 "
San Mateo,Belmont,1970," 23,538 "
San Mateo,Brisbane,1970," 3,003 "
San Mateo,Burlingame,1970," 27,320 "
San Mateo,Colma,1970, 537 
San Mateo,Daly City,1970," 66,922 "
San Mateo,East Palo Alto,1970, -   
San Mateo,Foster City,1970, -   
San Mateo,Half Moon Bay,1970," 4,023 "
San Mateo,Hillsborough,1970," 8,753 "
San Mateo,Menlo Park,1970," 26,826 "
San Mateo,Millbrae,1970," 20,920 "
San Mateo,Pacifica,1970," 36,020 "
San Mateo,Portola Valley,1970," 4,996 "
San Mateo,Redwood City,1970," 55,686 "
San Mateo,San Bruno,1970," 36,254 "
San Mateo,San Carlos,1970," 26,053 "
San Mateo,San Mateo,1970," 78,991 "
San Mateo,South San Francisco,1970," 46,646 "
San Mateo,Unincorporated San Mateo,1970," 78,054 "
San Mateo,Woodside,1970," 4,734 "
Santa Barbara,Buellton            ,1970, -   
Santa Barbara,Carpinteria,1970," 6,982 "
Santa Barbara,Goleta,1970, -   
Santa Barbara,Guadalupe,1970," 3,145 "
Santa Barbara,Lompoc,1970," 25,284 "
Santa Barbara,Santa Barbara,1970," 70,215 "
Santa Barbara,Santa Maria,1970," 32,749 "
Santa Barbara,Solvang,1970, -   
Santa Barbara,Unincorporated Santa Barbara,1970," 125,949 "
Santa Clara,Campbell,1970," 23,797 "
Santa Clara,Cupertino,1970," 17,895 "
Santa Clara,Gilroy,1970," 12,684 "
Santa Clara,Los Altos,1970," 25,062 "
Santa Clara,Los Altos Hills,1970," 6,871 "
Santa Clara,Los Gatos,1970," 22,613 "
Santa Clara,Milpitas,1970," 26,561 "
Santa Clara,Monte Sereno,1970," 2,847 "
Santa Clara,Morgan Hill,1970," 5,579 "
Santa Clara,Mountain View,1970," 54,132 "
Santa Clara,Palo Alto,1970," 56,040 "
Santa Clara,San Jose,1970," 459,913 "
Santa Clara,Santa Clara,1970," 86,118 "
Santa Clara,Saratoga,1970," 26,810 "
Santa Clara,Sunnyvale,1970," 95,976 "
Santa Clara,Unincorporated Santa Clara,1970," 142,415 "
Santa Cruz,Capitola,1970," 5,080 "
Santa Cruz,Santa Cruz,1970," 32,076 "
Santa Cruz,Scotts Valley,1970," 3,911 "
Santa Cruz,Unincorporated Santa Cruz,1970," 68,004 "
Santa Cruz,Watsonville,1970," 14,719 "
Shasta,Anderson,1970," 5,492 "
Shasta,Redding,1970," 16,659 "
Shasta,Shasta Lake         ,1970, -   
Shasta,Unincorporated Shasta,1970," 55,489 "
Sierra,Loyalton,1970, 945 
Sierra,Unincorporated Sierra,1970," 1,420 "
Siskiyou,Dorris,1970, 840 
Siskiyou,Dunsmuir,1970," 2,214 "
Siskiyou,Etna,1970, 667 
Siskiyou,Fort Jones,1970, 515 
Siskiyou,Montague,1970, 890 
Siskiyou,Mt. Shasta,1970," 2,256 "
Siskiyou,Tulelake,1970, 857 
Siskiyou,Unincorporated Siskiyou,1970," 16,608 "
Siskiyou,Weed,1970," 2,983 "
Siskiyou,Yreka,1970," 5,394 "
Solano,Benicia,1970," 7,349 "
Solano,Dixon,1970," 4,432 "
Solano,Fairfield,1970," 44,146 "
Solano,Rio Vista,1970," 3,135 "
Solano,Suisun City,1970," 2,917 "
Solano,Unincorporated Solano,1970," 16,610 "
Solano,Vacaville,1970," 21,690 "
Solano,Vallejo,1970," 71,710 "
Sonoma,Cloverdale,1970," 3,251 "
Sonoma,Cotati,1970," 1,368 "
Sonoma,Healdsburg,1970," 5,438 "
Sonoma,Petaluma,1970," 24,870 "
Sonoma,Rohnert Park,1970," 6,133 "
Sonoma,Santa Rosa,1970," 50,006 "
Sonoma,Sebastopol,1970," 3,993 "
Sonoma,Sonoma,1970," 4,112 "
Sonoma,Unincorporated Sonoma,1970," 105,714 "
Sonoma,Windsor             ,1970, -   
Stanislaus,Ceres,1970," 6,029 "
Stanislaus,Hughson,1970, -   
Stanislaus,Modesto,1970," 61,712 "
Stanislaus,Newman,1970," 2,505 "
Stanislaus,Oakdale,1970," 6,594 "
Stanislaus,Patterson,1970," 3,147 "
Stanislaus,Riverbank,1970," 3,949 "
Stanislaus,Turlock,1970," 13,992 "
Stanislaus,Unincorporated Stanislaus,1970," 94,335 "
Stanislaus,Waterford,1970," 2,243 "
Sutter,Live Oak,1970," 2,645 "
Sutter,Unincorporated Sutter,1970," 25,304 "
Sutter,Yuba,1970," 13,986 "
Tehama,Corning,1970," 3,573 "
Tehama,Red Bluff,1970," 7,676 "
Tehama,Tehama,1970, 317 
Tehama,Unincorporated Tehama,1970," 17,951 "
Trinity,Unincorporated Trinity,1970," 7,615 "
Tulare,Dinuba,1970," 7,917 "
Tulare,Exeter,1970," 4,475 "
Tulare,Farmersville,1970," 3,456 "
Tulare,Lindsay,1970," 5,206 "
Tulare,Porterville,1970," 12,602 "
Tulare,Tulare,1970," 16,235 "
Tulare,Unincorporated Tulare,1970," 107,792 "
Tulare,Visalia,1970," 27,268 "
Tulare,Woodlake,1970," 3,371 "
Tuolumne,Sonora,1970," 3,100 "
Tuolumne,Unincorporated Tuolumne,1970," 19,069 "
Ventura,Camarillo,1970," 19,219 "
Ventura,Fillmore,1970," 6,285 "
Ventura,Moorpark,1970, -   
Ventura,Ojai,1970," 5,591 "
Ventura,Oxnard,1970," 71,225 "
Ventura,Port Hueneme,1970," 14,295 "
Ventura,San Buenaventura,1970," 57,964 "
Ventura,Santa Paula,1970," 18,001 "
Ventura,Simi Valley,1970," 59,832 "
Ventura,Thousand Oaks,1970," 35,873 "
Ventura,Unincorporated Ventura,1970," 90,212 "
Yolo,Davis,1970," 23,488 "
Yolo,Unincorporated Yolo,1970," 45,204 "
Yolo,West Sacramento,1970, -   
Yolo,Winters,1970," 2,419 "
Yolo,Woodland,1970," 20,677 "
Yuba,Marysville,1970," 9,353 "
Yuba,Unincorporated Yuba,1970," 34,103 "
Yuba,Wheatland,1970," 1,280 "
Alameda,Alameda,1971," 71,900 "
Alameda,Albany,1971," 15,350 "
Alameda,Berkeley,1971," 113,500 "
Alameda,Dublin,1971, -   
Alameda,Emeryville,1971," 2,830 "
Alameda,Fremont,1971," 104,600 "
Alameda,Hayward,1971," 94,100 "
Alameda,Livermore,1971," 40,100 "
Alameda,Newark,1971," 27,800 "
Alameda,Oakland,1971," 358,500 "
Alameda,Piedmont,1971," 10,900 "
Alameda,Pleasanton,1971," 21,750 "
Alameda,San Leandro,1971," 69,000 "
Alameda,Unincorporated Alameda,1971," 134,400 "
Alameda,Union City,1971," 17,600 "
Alpine,Unincorporated Alpine,1971, 550 
Amador,Amador,1971, 160 
Amador,Ione,1971," 2,400 "
Amador,Jackson,1971," 2,040 "
Amador,Plymouth,1971, 510 
Amador,Sutter Creek,1971," 1,540 "
Amador,Unincorporated Amador,1971," 5,725 "
Butte,Biggs,1971," 1,140 "
Butte,Chico,1971," 20,000 "
Butte,Gridley,1971," 3,520 "
Butte,Oroville,1971," 7,500 "
Butte,Paradise,1971, -   
Butte,Unincorporated Butte,1971," 72,100 "
Calaveras,Angels,1971," 1,730 "
Calaveras,Unincorporated Calaveras,1971," 12,050 "
Colusa,Colusa,1971," 3,830 "
Colusa,Unincorporated Colusa,1971," 6,950 "
Colusa,Williams,1971," 1,560 "
Contra Costa,Antioch,1971," 29,100 "
Contra Costa,Brentwood,1971," 2,800 "
Contra Costa,Clayton,1971," 1,480 "
Contra Costa,Concord,1971," 87,300 "
Contra Costa,Danville,1971, -   
Contra Costa,El Cerrito,1971," 24,950 "
Contra Costa,Hercules,1971, 240 
Contra Costa,Lafayette,1971," 20,550 "
Contra Costa,Martinez,1971," 17,000 "
Contra Costa,Moraga,1971, -   
Contra Costa,Oakley,1971, -   
Contra Costa,Orinda,1971, -   
Contra Costa,Pinole,1971," 13,650 "
Contra Costa,Pittsburg,1971," 21,800 "
Contra Costa,Pleasant Hill,1971," 24,900 "
Contra Costa,Richmond,1971," 78,300 "
Contra Costa,San Pablo,1971," 21,350 "
Contra Costa,San Ramon,1971, -   
Contra Costa,Unincorporated Contra Costa,1971," 178,900 "
Contra Costa,Walnut Creek,1971," 40,450 "
Del Norte,Crescent City,1971," 2,650 "
Del Norte,Unincorporated Del Norte,1971," 12,250 "
El Dorado,Placerville,1971," 5,350 "
El Dorado,South Lake Taho,1971," 14,050 "
El Dorado,Unincorporated El Dorado,1971," 26,300 "
Fresno,Clovis,1971," 14,900 "
Fresno,Coalinga,1971," 6,175 "
Fresno,Firebaugh,1971," 2,910 "
Fresno,Fowler,1971," 2,240 "
Fresno,Fresno,1971," 167,900 "
Fresno,Huron,1971," 1,720 "
Fresno,Kerman,1971," 2,710 "
Fresno,Kingsburg,1971," 3,940 "
Fresno,Mendota,1971," 2,920 "
Fresno,Orange Cove,1971," 3,440 "
Fresno,Parlier,1971," 2,030 "
Fresno,Reedley,1971," 8,225 "
Fresno,San Joaquin,1971," 1,540 "
Fresno,Sanger,1971," 10,150 "
Fresno,Selma,1971," 7,575 "
Fresno,Unincorporated Fresno,1971," 180,200 "
Glenn,Orland,1971," 2,880 "
Glenn,Unincorporated Glenn,1971," 10,600 "
Glenn,Willows,1971," 4,110 "
Humboldt,Arcata,1971," 9,275 "
Humboldt,Blue Lake,1971," 1,120 "
Humboldt,Eureka,1971," 24,450 "
Humboldt,Ferndale,1971," 1,360 "
Humboldt,Fortuna,1971," 4,240 "
Humboldt,Rio Dell,1971," 2,820 "
Humboldt,Trinidad,1971, 310 
Humboldt,Unincorporated Humboldt,1971," 57,200 "
Imperial,Brawley,1971," 13,600 "
Imperial,Calexico,1971," 10,750 "
Imperial,Calipatria,1971," 1,830 "
Imperial,El Centro,1971," 19,650 "
Imperial,Holtville,1971," 3,600 "
Imperial,Imperial,1971," 3,080 "
Imperial,Unincorporated Imperial,1971," 21,050 "
Imperial,Westmorland,1971," 1,220 "
Inyo,Bishop,1971," 3,520 "
Inyo,Unincorporated Inyo,1971," 12,400 "
Kern,Arvin,1971," 5,375 "
Kern,Bakersfield,1971," 71,300 "
Kern,California City,1971," 1,770 "
Kern,Delano,1971," 14,850 "
Kern,Maricopa,1971, 730 
Kern,Mc Farland,1971," 4,250 "
Kern,Ridgecrest,1971," 8,025 "
Kern,Shafter,1971," 5,525 "
Kern,Taft,1971," 4,320 "
Kern,Tehachapi,1971," 4,260 "
Kern,Unincorporated Kern,1971," 206,300 "
Kern,Wasco,1971," 8,350 "
Kings,Avenal,1971, -   
Kings,Corcoran,1971," 5,275 "
Kings,Hanford,1971," 15,400 "
